MissingRate,Repeat,Seed,Mean,Median,ClinDiff-Lite,ClinDiff-Gated,Mean Liver Avg,ClinDiff-Lite Liver Avg,ClinDiff-Gated Liver Avg,Grouped Usage Rate,Masked Observed Cells,Masked Headline Cells,Masked Liver Cells
40%,66,2491,156.9586240383102,170.89858168707343,155.54083711296664,152.7656431725123,163.1393476390199,157.63342617942106,155.50929307699167,0.4908393694077546,4838,3995,2296
40%,67,2492,156.6234663802956,169.44900343249648,164.43634475396303,163.4013830194561,162.8746197360375,164.09338756894053,163.15336184310084,0.49211759693225393,4864,4027,2283
40%,68,2493,171.13869805084153,186.72574646892966,169.0037344384715,168.98756764930133,179.30150345329096,173.36215420197846,173.3754707657074,0.4895611418832552,4993,4074,2305
40%,69,2494,197.56330757882566,210.57272274575007,196.26571102564034,194.46553871818975,200.29816121157856,194.0763178570543,192.583151228911,0.48615253515125695,4906,4032,2288
40%,70,2495,201.07518642304436,216.187645172435,199.1500666608702,199.68878747053157,199.97906679721277,193.08763516243224,193.39348109679375,0.47507456327226244,4969,4071,2308
40%,71,2496,182.55740411522996,199.40065450281446,180.93173255124668,178.95178152623137,182.52309938944393,175.61404171302922,173.88667154500857,0.4853003834682573,4906,4006,2301
40%,72,2497,175.9659846402344,191.66078153577655,174.17521003536075,174.8280825556826,182.59126147516088,176.4298967340542,176.77615750688838,0.49211759693225393,4798,3944,2266
40%,73,2498,196.79677277170654,213.75539950953782,195.59606318949213,193.8753180230528,192.62325315517236,186.27491404859964,184.65684602704857,0.47890924584576056,4944,4055,2305
40%,74,2499,188.1815937675278,204.4001984548878,186.8711838810808,182.9955985894338,187.85862129931408,182.28316870075943,179.1627316896568,0.48828291435875587,4892,4025,2296
40%,75,2500,166.99580811116581,179.8515157060727,165.05091296792236,162.5981911894754,170.4372495229362,162.72055534903194,160.75474264970663,0.5044737963357477,4782,3951,2240
40%,76,2501,194.06148589405345,210.00502205516193,192.68457843366068,190.6085699112886,192.82868664227598,185.43935566414703,183.560518298686,0.5023434171282488,4846,3979,2236
40%,77,2502,209.80694037054212,225.23766670025913,208.68449794464422,207.4133959045624,201.0023919882433,195.3066261212324,194.32369118020338,0.48828291435875587,4850,3986,2314
40%,78,2503,166.06313407289718,181.22031683834143,166.34211851358677,168.6266646343642,170.9125842895667,166.43583767401472,168.3762427559713,0.4904132935662548,4890,4037,2260
40%,79,2504,197.01160076928264,213.9711972290966,195.9003785179555,193.01415562916054,193.14813677856478,186.97651056804682,184.6301173634365,0.48572645930975716,4912,4057,2303
40%,80,2505,161.66310638570957,177.36030431312278,160.40638461312528,159.2485350984283,162.62482413767782,157.14584295371444,156.37090800685382,0.4874307626757563,4945,4044,2337
